rho_core_over_rho_core_sun,BP_RP_model,M_G_model,log10_g_cm_s2,T_photo_K
0.01,1.5807372128928239,15.138632387678966,2.9487696474771585,3080.700255375994
0.01,1.5409349455021082,14.526861827826012,3.011142455583318,3300.0195132305266
0.01,1.4992092321091433,13.954023404371059,3.068291040144774,3525.9119364635085
0.01,1.3972149195240737,12.814178441267526,3.1760736950155266,4049.4739996904163
0.01,1.340903264079983,12.27403173976679,3.2290258417117124,4314.983020468099
0.01,1.133673216000369,10.480864398264966,3.440752184996297,5109.504313159668
0.01,1.0695285646395163,10.077186532255531,3.490302886445144,5295.965562624343
0.01,0.9848789494740527,9.666838509055038,3.5388727385907566,5504.637436392107
0.01,0.7563944967457634,8.862811180457769,3.634550495017692,5932.100725503404
0.01,0.3931823021316822,7.582449228021282,3.772447440481448,6796.061716883809
0.01,0.24356399403414739,6.7890477265714,3.841360342771316,7537.087422097488
0.01,1.4250709521226668,14.100249696582805,2.9488961308792145,3911.407515078907
0.01,1.365449049101573,13.446830485620618,3.01726968890611,4201.605289800847
0.01,1.2181842792681807,11.845701274166718,3.2181984190562796,4821.636912345845
0.01,1.1636051772708955,11.383168039427332,3.2766273336531824,5013.206585557142
0.01,1.1036393399901954,10.947148765935147,3.332273958068071,5200.097226072202
0.01,0.9268925923566105,10.080106164266159,3.437038154920386,5627.271305698662
0.01,0.07498098611818674,5.964662663375177,3.853011358014079,8991.15173868667
0.01,1.0669776006035194,11.484498967246957,3.207716812993872,5302.846085018466
0.01,0.34375700763176414,8.314089546674397,3.6005608569081513,7000.487699431581
0.01,0.22552268059472647,7.511726777140726,3.6831955228207036,7654.9730535007375
0.01,-0.04964806966740014,5.143945369615438,3.8584351865810516,10795.832687586364
0.01,1.267259402448556,14.701318668128723,2.681932829751081,4631.490023532094
0.01,1.191067159110704,13.641203636337123,2.841511911053816,4919.425414923618
0.01,1.113316297060303,12.854721230117717,2.9556675508210333,5171.554514069363
0.01,0.9360695737649224,11.648797863403715,3.1262306621200677,5608.7870234044285
0.01,0.5729824358593357,10.19635731104027,3.319072626145534,6274.744816293966
0.01,0.4677321406121457,9.732231138849581,3.375314648900872,6544.523820455808
0.01,0.3979070587538883,9.305394204480535,3.430139452581578,6778.234227750328
0.01,0.16068206676602415,7.4772630768110275,3.636371622155673,8145.325533636809
0.01,-0.01193945502208111,5.89361175603626,3.7611462301334884,10160.381376403822
0.01,0.9107066007086483,12.652358108467787,2.9175475847719277,5659.125754623289
0.01,0.4286735863008423,10.283620393697415,3.24904090382097,6668.706850559929
0.01,0.24800210954671884,8.87452713937633,3.427459151239402,7509.19927829398
0.01,0.10378628184415647,7.444096874822639,3.588075706862059,8677.75851631363
0.01,0.02336127990932697,6.646910389925526,3.655979874734445,9640.612577851036
0.01,-0.05182853096310627,5.857368142939892,3.71252689191682,10835.385487083566
0.01,0.6271722783499074,12.52101780824951,2.869799131352157,6162.47717644146
0.01,0.4897785850860099,11.700936438510777,2.9901459921589804,6480.898012031055
0.01,0.4027623012204165,11.038289252350538,3.0858832521058686,6760.203292498382
0.01,0.054062229744153596,7.412090704382129,3.5400540010074035,9239.864079587274
0.01,-0.019851573449436083,6.61113696474195,3.6069747937126513,10286.433135672183
0.01,0.3247538170841934,11.510845717825323,2.950209927926125,7088.635787001552
0.01,0.21107002825143445,10.127591208293747,3.148891732084211,7754.880458133487
0.01,0.16825057100701332,9.557433453410356,3.2272113963460125,8082.200294869386
0.01,0.005753578835810193,7.385668847807352,3.4860173294024506,9891.46388698444
0.01,-0.06503348052882188,6.580772720996241,3.5483963396066693,11081.981571604363
0.01,-0.19075718532872002,5.002311465005017,3.6496258889244153,14182.342425112845
0.01,0.21596306739842944,11.393411917353813,2.899873168690731,7720.492904795554
0.01,0.16034809197425928,10.517524527131012,3.0282083487143336,8148.149837353594
0.01,0.08208767068882532,9.17421555169195,3.218960379021089,8910.814175958625
0.01,0.025153204185089678,8.243843132184441,3.338982174370153,9615.975504782575
0.01,-0.11090551653517967,6.569086216865942,3.478621509887426,12041.594558180286
0.01,-0.17125684066873406,5.769636080618275,3.5328605599838534,13595.130003870594
