rho_core_over_rho_core_sun,T_photo_K,log10_g_cm_s2,log10_L_over_Lsun
1.0,5912.158327234907,4.32294649788722,-4.242731697698511
1.0,6122.002526223381,4.3781439138612726,-4.070989730860822
1.0,6861.101389046493,4.532366146455507,-3.5649899030596277
1.0,5783.335879081025,4.120217636169706,-4.686389457770128
1.0,6030.166328986196,4.190587600822425,-4.472697215960769
1.0,6763.832865505717,4.371712687553456,-3.9111214665759366
1.0,7015.274041299326,4.426089670683458,-3.738692850902078
1.0,7605.257431932501,4.536941881685317,-3.376713845941387
1.0,5505.367732180066,3.755078269852115,-5.5021139060171524
1.0,6637.577453163536,4.175397810531525,-4.336713222331804
1.0,8798.497847741033,4.576849378138247,-3.0435577783728878
1.0,7283.622509264896,4.158155338408211,-4.209827218395217
1.0,7562.294997643577,4.231038124869426,-3.9983003527229126
1.0,8606.068880958639,4.434595888131809,-3.366800306451635
1.0,9376.718993080944,4.527438787200568,-3.032274997243123
1.0,6877.7240185011815,3.7750398123665474,-5.075752452653935
1.0,7981.589049640862,4.1382222304342084,-4.090574951384744
1.0,8311.951498733966,4.216548241590026,-3.8631729399005845
1.0,9163.595052468245,4.3794223259343825,-3.368564596443184
1.0,8774.028974446946,4.113831039805189,-3.9744550866233777
1.0,9133.034251653993,4.200786420728932,-3.73126931669737
1.0,10774.159639267311,4.412344824493225,-3.020786956335469
1.0,10466.99464518057,4.237798161956506,-3.42029250249775
1.0,11754.239957824668,4.32168923052717,-3.0515337937831237
10.0,1318.7086267222237,4.302459604397707,-8.889590027485587
10.0,1426.6594865984166,4.356783305613759,-8.644432940663544
10.0,1534.3714396291077,4.410847618866324,-8.409558349457852
10.0,1731.3291425348398,4.516023965690308,-7.989313394422476
10.0,1821.83928058429,4.56704540380007,-7.7987560876800455
10.0,1916.9266096450879,4.61747356573102,-7.609917836569034
10.0,2130.2415610172175,4.718298440438701,-7.225137294445675
10.0,2241.4781038734213,4.768251829146019,-7.036899345690019
10.0,2464.099420084047,4.865712951778677,-6.67730884531929
10.0,2677.5257348920486,4.959486667790594,-6.345285647408877
10.0,3077.1952275630597,5.096360039698659,-5.830346043591144
10.0,3241.621995178954,5.141429487572626,-5.649622629824902
10.0,3624.6792319180004,5.230993417800219,-5.276364463663475
10.0,3848.185055411172,5.275447007814064,-5.08379561468376
10.0,4835.319656791973,5.454954562154114,-4.327381972401836
10.0,5262.5872706559985,5.537344046510938,-4.015969590004767
10.0,5851.423257378768,5.60486843093494,-3.69661895172567
10.0,1633.3097609044326,4.295150717671956,-8.532540462551848
