"#Zeta","#Rho","#Lumi","#Mass","#Temp","#G","#Gbp-Grp","#Rad","#O2S","#O2L","#H1S","#N2S","#N2L","#S2S","#S2L","#S3S","#S3L","#Halpha","#Hbeta","HaNII","HaSII","SS"
"-23.0","-13.276","-13.2350682893345","13.5994282676062","3.9349097549383","47.2818134799638","1.1957560338952","9.29943064441826","-4.46013694452418","-4.45715529176204","-2.29056073189694","-3.47048314059596","-4.22895495039528","-3.47791394194357","-3.10434422297033","-6.90038024575077","-6.09940162340216","-0.437848883549698","1.23596894132755","2.64181976233463","2.64181976233463","-0.373569718973246"
"-22.5","-13.276","-12.6931827155943","13.641370845178","3.96358828176013","46.5020742673309","1.21966631997323","9.28351815753475","-4.77074814911594","-4.76460092020727","-1.93693125696807","-3.79521318831527","-3.61225120537468","-4.51344593417977","-2.76834411151919","-6.6803102741536","-6.12399999563935","-0.331520817606709","1.25205294591397","2.69321139242947","2.69321139242947","-1.74510182266059"
"-22.0","-13.276","-12.1513770456433","13.683233372343","3.9922117529085","45.7195848787134","1.24285644052881","9.26755226233328","-5.07251672963137","-5.0688915283868","-1.58700644798423","-4.12273039485862","-3.00972451523732","-5.5109889645466","-2.44672681726801","-6.46197229335243","-6.16516029682735","-0.227478895396141","1.2681144461977","2.74987571803736","2.74987571803736","-3.06426214727859"
"-21.5","-13.276","-11.6189301464805","13.7157209026268","4.01433019313368","44.6618312469157","1.20204980359744","9.24577083253306","-4.50931261062834","-5.0234597575338","-1.47887165859235","-4.70868410204777","-3.63179266463225","-3.08523332449056","-3.3768328156589","-6.43986318241358","-7.7705300878108","-0.33511878954653","1.28182545882718","3.2605627375719","3.2605627375719","0.291599491168341"
"-21.0","-13.276","-11.0975084948459","13.7371661445324","4.03049602828175","43.363653368059","1.19525033010231","9.20846142248475","-5.01490734990253","-5.49971401735918","-1.50127913361947","-4.58159813904403","-4.16295033756539","-3.5500734697971","-3.6335556782534","-6.22036143968062","-6.68881480037953","-0.118496902517343","1.2944729955503","3.84510629430773","3.84510629430773","0.0834822084562974"
"-20.5","-13.276","-10.5757241249148","13.7589757598763","4.04830963877245","41.9328725254676","1.21310127568895","9.1705937238847","-5.37876957773559","-5.9062795734716","-1.50363410898421","-4.61404823918235","-4.51566485397839","-4.04552465405162","-3.95333330321888","-6.05716592745387","-6.16257871382793","0.0269568779363637","1.30672494770673","4.26785807816543","4.26785807816543","-0.0921913508327427"
"-20.0","-13.276","-10.0535896261093","13.7811371017887","4.06771383273088","40.374091174292","1.25474706032302","9.13218711411292","-5.60581862254144","-6.24557521896815","-1.48663257765499","-4.80049713877859","-4.696129715145","-4.57052441281216","-4.33397715187067","-5.9483223387307","-6.17254195659758","0.103712692823755","1.31859504545885","4.53443364521865","4.53443364521865","-0.23654726094149"
"-19.5","-13.276","-9.53145512730373","13.803298443701","4.08711802668932","38.8153098231163","1.29639284495708","9.09378050434114","-5.8328676673473","-6.5848708644647","-1.46963104632578","-4.98694603837484","-4.87659457631161","-5.09552417157269","-4.71462100052246","-5.83947875000753","-6.18250519936724","0.180468507711147","1.33046514321098","4.80100921227188","4.80100921227188","-0.380903171050237"
"-19.0","-13.276","-9.01015697327314","13.8246226346398","4.10654313216438","37.2582512896238","1.33778921250184","9.05539357405197","-6.05896051553924","-6.91806658090578","-1.45332835288704","-5.1819452129877","-5.05621322195242","-5.6235955006735","-5.10148062160134","-5.72271192044084","-6.18941696606913","0.258045299452563","1.34232336771868","5.06871430989605","5.06871430989605","-0.522114879072161"
"-18.5","-13.276","-8.68654783677131","13.6480083695601","4.13076379128688","36.1061330628902","1.35957830928952","8.97654195933812","-6.13089667216341","-6.10274821259001","-1.5868069805517","-6.8744753109655","-5.00624772572078","-6.65181751998731","-6.53918062074262","-4.21966229831477","-5.87155186734821","0.6100333534027","1.34994744821977","5.61039843015441","5.61039843015441","-0.112636899244693"
"-18.0","-13.276","-9.19253740328931","12.6422580495406","4.16030548930765","40.5904086804083","1.02724350722961","8.74137756136184","-6.20493776204624","-6.97066854209651","-1.60291210235649","-6.20881386050743","-5.02157571071452","-7.18437012953515","-7.28605947347567","-3.08131544094861","-3.79385021326588","-0.495481679632277","1.31723771631844","4.49865796729949","4.49865796729949","0.101689343940513"
"-24.0","-12.776","-13.9140541010786","13.9201879844689","3.80972893000574","47.5465348210645","1.2228999116051","9.33630657318607","-3.476251818744","-4.63092296255251","-1.06421821583936","-3.55948765417892","-3.18975500303364","-2.83725782139377","-1.20175546002206","-8.04302262218658","-7.23296919407149","-0.0274044161373483","1.20378078136569","3.00642599166999","3.00642599166999","-1.63550236137172"
"-23.5","-12.776","-13.3351096816714","13.9992439448686","3.86660937869783","46.8213012274187","1.3046814265947","9.3269682010038","-4.01874142347595","-4.55977016389389","-1.02626033693102","-3.11921075265941","-3.6953748327655","-3.69233646370857","-2.033928410994","-7.34153569253871","-7.14509155938206","-0.213045265124835","1.22707419104203","2.80355062851925","2.80355062851925","-1.65840805271457"
"-23.0","-12.776","-12.7865292719749","14.0478893607207","3.9002479032702","46.0584242688806","1.29954803503828","9.31308402081311","-4.37881299644657","-5.08101229237374","-1.24631220463436","-3.47757906094038","-3.83985781108581","-3.48400344738156","-2.39828446561746","-6.98609042523198","-7.30050413770378","-0.147894466345079","1.243799346551","3.14974488402738","3.14974488402738","-1.0857189817641"
"-22.5","-12.776","-12.2379488622785","14.0965347765727","3.93388642784258","45.2955473103424","1.29441464348186","9.29919984062242","-4.73888456941719","-5.60225442085358","-1.46636407233769","-3.83594736922136","-3.98434078940613","-3.27567043105454","-2.76264052024091","-6.63064515792525","-7.4559167160255","-0.0827436675653227","1.26052450205997","3.4959391395355","3.4959391395355","-0.513029910813634"
